"","user_id","age","item_id","rating","item_mean_rating","user_age_band_item_mean_rating","user_gender_item_mean_rating","item_imdb_rating_of_ten","item_imdb_count_ratings","item_imdb_length","item_imdb_staff_votes","item_imdb_staff_average","item_imdb_top_1000_voters_votes","item_imdb_top_1000_voters_average","user_gender_item_imdb_mean_rating","user_gender_item_imdb_votes","user_age_band_item_imdb_votes","user_age_band_item_imdb_mean_rating","user_gender_age_band_item_imdb_votes","user_gender_age_band_item_imdb_mean_rating","zipcode_mean_rating","occupation_mean_rating"
"user_id",1,-0.0751427727221989,0.00667953532867319,-0.0115079055291242,0.00682385617814148,0.00538114521459266,0.0108034806694489,0.00346351777705524,0.00643801755740147,0.00905077134103353,0.00785340224488833,0.0022630617515343,0.0122733797359031,0.00497834999716509,0.00693451860189004,0.00508043853599158,0.0136859929893856,0.00997021477099741,0.0177481240689724,0.013596619726242,-0.0104848116747104,-0.00131263131460072
"age",-0.0751427727221989,1,-0.0105835970660551,0.0481049756755355,0.13248161697911,0.113929882687207,0.124122241828618,0.101370932730033,-0.0166574081203674,0.0637571325398133,-0.0140168183946684,0.0810576538563914,-0.016705132660572,0.0993012537700853,0.095601600764119,-0.0110386877457494,-0.0858377980575013,0.0426472649490525,-0.0753133961751336,0.0496927672683771,0.0495250113291562,0.0738793157571438
"item_id",0.00667953532867319,-0.0105835970660551,1,-0.168802200725267,-0.378718493885831,-0.346676893066085,-0.360802023201332,-0.397586138800253,-0.401470351229549,-0.172164708527565,-0.448560504998945,-0.304517481637118,-0.516279560812847,-0.423698967026649,-0.390751939441078,-0.35634901585363,-0.36317204975847,-0.383005252965164,-0.324406483317059,-0.37406380815975,-0.171328906319664,-0.279420366222342
"rating",-0.0115079055291242,0.0481049756755355,-0.168802200725267,1,0.446032930668206,0.48680759330637,0.468196404278878,0.384763850319778,0.206615862979041,0.129450800521391,0.230151364026106,0.320016567364488,0.206813053803428,0.37736602336693,0.39062197550668,0.192204616546409,0.186421413965738,0.376932297673088,0.172990757056374,0.381348687459367,0.985408184428697,0.603802693965488
"item_mean_rating",0.00682385617814148,0.13248161697911,-0.378718493885831,0.446032930668206,1,0.915966455339292,0.952243404235456,0.862489069370895,0.463725068272379,0.290497074443501,0.516574643271065,0.717241249602634,0.464708430729029,0.84606899101717,0.853196756843389,0.407934855583226,0.414043083033571,0.839907953564299,0.369407447684064,0.82720555934274,0.452679894838851,0.738403696555163
"user_age_band_item_mean_rating",0.00538114521459266,0.113929882687207,-0.346676893066085,0.48680759330637,0.915966455339292,1,0.880946051887631,0.790160643826444,0.424351111417167,0.265874400273514,0.472691167394759,0.656966558870004,0.424894279344144,0.774995881606452,0.782038992261883,0.374324555086874,0.382873567935161,0.77377280040136,0.342239665101877,0.763266296891571,0.492276310650096,0.734865942184399
"user_gender_item_mean_rating",0.0108034806694489,0.124122241828618,-0.360802023201332,0.468196404278878,0.952243404235456,0.880946051887631,1,0.82141799275244,0.441607643666922,0.276640745507853,0.49195748051421,0.68304990650331,0.442758478595791,0.805782915648374,0.834125224585364,0.410785878651641,0.394102131711336,0.799480630566126,0.371934002028442,0.808712413886454,0.474644489685545,0.734317592183192
"item_imdb_rating_of_ten",0.00346351777705524,0.101370932730033,-0.397586138800253,0.384763850319778,0.862489069370895,0.790160643826444,0.82141799275244,1,0.602699472254533,0.325142920059498,0.648106434789439,0.778124485185527,0.574909491059811,0.95928726836026,0.986182365019648,0.535796883377423,0.545491408594637,0.977586652387284,0.488581178088947,0.960087526374677,0.390494872192003,0.636881597977763
"item_imdb_count_ratings",0.00643801755740147,-0.0166574081203674,-0.401470351229549,0.206615862979041,0.463725068272379,0.424351111417167,0.441607643666922,0.602699472254533,1,0.295777935635827,0.954169562404536,0.490375658485388,0.69451807811474,0.647758663375763,0.595900179389942,0.884305063112201,0.908883491020209,0.596021738559289,0.81161670045451,0.584305023962658,0.209689561620685,0.342387760161838
"item_imdb_length",0.00905077134103353,0.0637571325398133,-0.172164708527565,0.129450800521391,0.290497074443501,0.265874400273514,0.276640745507853,0.325142920059498,0.295777935635827,1,0.264569064040928,0.228594846811537,0.311264562768066,0.326605244898396,0.321282628896972,0.271023408255621,0.258375724938884,0.320620844219601,0.240022107878304,0.313987116492582,0.131387903078725,0.214523657314964
